Figure,arousal_original,arousal_score,emotion,notes
11,7.5,7.5,Joyful and nostalgic,Starts like 10 ends  I assume they are connected  but then it quickly goes lower and slower. Then picks up again and sounds close to joyful  but also nostalgic
12,8,8,Nostalgic but hopeful then more melancholic then almost hopeless. Fragile hope at end?,"Light and twinkling, but with slow lower notes   starts out kind of nostalgic but happy before it starts to slow down   gets sadder and more melancholic. Around 1 min mark, gets very low with no right hand, climbs back up to mid-to-high-hand   pinging returns here and there. Goes higher, but then lower again and gets kind of hopeless around 2:50? Starts to climb at the end but not with joy, kind of fragile hope"
13,6.5,6.5,Serene melancholic depressed. ,"Starts with mid-range-to-high, pining radar returns   kind of hollow. Melody is kind of serene/melancholic? Very different with melody vs pinging   then are merged together in mid-to-lower range. Very melodic, almost like a song for a bit. Higher notes start to return, and then disappear for a while. Feels sad but not tragic, not acute enough for grief. Ends abruptly in what feels like the middle of a melody"
14,6.5,6.5,Kind of serene? ,Plays the two extremes for a while  with the higher notes striking hardest and the lower notes presenting a melody but hard to hear  a return to the earlier sonar but at a lower register (upstair neighbour’s dog was unhappy)  drops off the higher notes for the last 30 seconds and it feels very serene/at peace almost?
15,5,5,Hopeful? Serene relaxed – less intense. Still a bit nostalgic,Starts with higher melody  quick notes but not as striking/more mellow high notes. Much less depressing than earlier pieces  though still not happy/excited.
16,7,7,Sad nostalgia melancholic depressed,Fast notes but mid-range  then goes a bit higher before leading back down for quite a while. Lots of mid-to-low range notes  makes it seem sad but active. Occasionally leads up but then always comes down. Mostly a sad tone  kind of melancholic and depressed because the little bits of hope never stay. Go back down near end  very melodious but sad. Kind of tragic but not immediately after a tragedy? Like the song in a movie showing grieving at a funeral where they’re trying to be happy and it’s raining to show their collective emotion [this one was very emotional/depressing – I think it was the first one where I actually felt sad after it]
17,6,6,Serene pensive sad but accepting. Kind of sweet? melancholic,Starts extremely low but intensely  almost inaudible for 15 seconds. Climbs up after  but then goes back down and slows down. Kind of sweet tones?  Serene/pensive/accepting of the sadness? Pinging returns at a lower town for a bit  then a bit of pleasant melody with a bit of sadness/melancholy. Ends very abruptly.
18,8,8,grasping hope sweet melancholic sad,"Pinging starts right at the beginning and then turns to high notes moving   hopeful? High notes disappear around 1:15ish, goes almost inaudible with low notes, with occasional higher or high moments but reverts back to low   kind of like a grasping hope? Melody returns in midrange around 2:45, sweet hope but still melancholic/sad. Ends on those hollow high notes, very abruptly. "
19,7,7,Frantic desperate sad hollow,Starts very abruptly with mid-to-high  no lead in. kind of a double pinging for a bit  but still sad but the higher pinging still continues. Kind of like a hollow plucking – the notes are very short. Searching? Around 1 min mark both L and R hands are pinging – very little melody  more just plucking the keys almost – very abrupt notes. Lower in tone and quietness  around 2 min mark only one note being played repeatedly until melody comes in around 2:10. Goes higher and more frantic  melody comes in and slows down but still a bit frantic  desperate. Goes lower at end  with a bit of a low-almost-inaudible melody.
20,8.5,8.5,Anticipation nervousness? Alert flighty,Quick  light notes  kind of like rain pattering with high chords  almost no low notes – anticipating  kind of nervous-seeming. Goes to one note plinking for a while  all mid-to-high. Too hollow for joy  kind of searching? Similar tempo throughout  ends on a high note suddenly
21,7,7,Fragile melancholic sad,Starts even higher than the last one ends  but continues with the lack of low notes. Very hollow  fragile. Goes more mid-range-to-lower but with some plinking still. Still searching but a bit more sad  not finding what they wanted. The plinking also slows down  kind of like the radar isn’t getting results. Goes lower around 2:30  more of a melody – no more plinking. Some high notes  but more melodious  low notes start to go so low they are almost inaudible even at high volume. Taper off slowly in that descent. 
22,6,6,Sad empty. Melancholic. Pensive. ,Start the lowest I have heard so far  higher notes start around 20 sec mark. From 30 sec to it goes so low I thought it stopped. At 1 minute higher again before lower. Feels like it’s representing hollow spaces where things used to be  and where only some remain. Many hollow spaces with nothing or little parts (deep but audible notes) remain. Higher notes where things still are. 
23,7,7,Nervous alert melancholic but steady anticipation too,Starts higher  the lows are higher too. Repetitive notes but not the same painful sonar as the first few. Lower notes are gone  higher notes only for a while. Kind of searching pattern (lower-higher-higher-lower-lower-higher-higher-lower-lower-lower  etc.)  2 min mark radar but at mid-to-high range like earlier in track 
